 @ Data used in                                                                                  @
 @ Martin Lettau and Sydney Ludvigson "Consumption, Aggregat Wealth and Expected Stock Returns"  @
 @ and                                                                                           @
 @ Martin Lettau and Sydney Ludvigson "Resurrecting the (C)CAPM: A Cross-Sectional Test When 	 @
 @                                     Risk Premia Are Time-Varying" 				 @
 @																								 @
 @ See papers for a detailed description of the data.  Variables are in natural logs.  Missing   @
 @ values are denoted as -99.                                                                    @
 @ date: 9/16/99                                                                                 @
 
 @ ****** IMPORTANT ********                                                                     @ 
 @ The wealth variable is measured at the BEGINNING OF PERIOD, e.g. the observation              @
 @ in 1953Q1 is wealth as of January 1 1953!							 @
 @ This convention is different from the standard timing convention used to compute              @
 @ dividend-price ratios, which uses END OF PERIOD variables.                                    @
 
 @ Quarter consumption c  asset wealth a  labor income y    cay= c-0.3054a-0.5891y               @
 195701  8.9898445910021 10.641299485324 8.7396423143346    0.5917526715306
 195702  8.9928937193804 10.632801278771 8.7407165936851    0.5967642599700
 195703  8.9979935586748 10.643092664000 8.7395962199387    0.5993811681937
 195704  8.9990465316439 10.624242544747 8.7317276288382    0.6108260332930
 195801  8.9902140833433 10.619470024914 8.7090687921656    0.6167988573158
 195802  8.9975762456075 10.623559380684 8.7105918331795    0.6220149721684
 195803  9.0076775301477 10.632970766632 8.7336394208825    0.6156653034766
 195804  9.0109704227687 10.659853977185 8.7448781538297    0.6041277846535
 195901  9.0193991250897 10.673044063923 8.7518458999753    0.6044237950426
 195902  9.0266938829832 10.671225215474 8.7676007943254    0.6029931851831
 195903  9.0338972852280 10.679428057832 8.7607422036114    0.6117317289093
 195904  9.0395354725211 10.676021271169 8.7626312009479    0.6172975616854
 196001  9.0372623591217 10.685412231315 8.7692346903002    0.6082665577686
 196002  9.0443304198378 10.678275816382 8.7704618200142    0.6167911565023
 196003  9.0376478876187 10.678636546883 8.7661348094310    0.6125473981196
 196004  9.0390353083914 10.663119549899 8.7586267842051    0.6230963982718
 196101  9.0432401789006 10.684208068625 8.7606046730389    0.6196958569825
 196102  9.0535640436339 10.706446717727 8.7735708270358    0.6155901441651
 196103  9.0514658624043 10.711834832508 8.7828894049850    0.6063571194302
 196104  9.0618854069152 10.721641276354 8.7969826524341    0.6054798503740
 196201  9.0677008942936 10.743504007448 8.8057605760950    0.5994477491727
 196202  9.0740050109745 10.743409060259 8.8129403828876    0.6015514096917
 196203  9.0788219994859 10.684124283202 8.8145213339992    0.6235422503382
 196204  9.0839346385653 10.696519181136 8.8171581345982    0.6233162989144
 196301  9.0860410661833 10.742163766295 8.8235684832967    0.6077070092776
 196302  9.0904410662241 10.757238001197 8.8293642392790    0.6040893031902
 196303  9.0996308997245 10.766144027568 8.8355924327643    0.6068904193406
 196304  9.1045609820803 10.775279410791 8.8483814499524    0.6014969161440
 196401  9.1161658629001 10.764977415846 8.8661047208929    0.6058075987494
 196402  9.1283091161006 10.776794512165 8.8889938106565    0.6008585790882
 196403  9.1405586701129 10.791734468440 8.8988134617468    0.6027610544038
 196404  9.1451640896375 10.802574607553 8.9066640447549    0.5994313813513
 196501  9.1538799650811 10.813479617324 8.9145307080222    0.6001828806804
 196502  9.1654588013995 10.823701619048 8.9209752838037    0.6048436444290
 196503  9.1752358588929 10.812164820470 8.9473443154970    0.6026105932646
 196504  9.1968776124875 10.835501174390 8.9651497886154    0.6066368109166
 196601  9.2024108220855 10.860764426071 8.9669459570569    0.6033967218627
 196602  9.2109097302903 10.849617806195 8.9761277496066    0.6098909548633
 196603  9.2152248100508 10.850631735304 8.9895197785140    0.6060074640801
 196604  9.2174522086562 10.822563286898 9.0019816034746    0.6094658059151
 196701  9.2266445142062 10.846550285534 9.0130593168703    0.6048070354695
 196702  9.2328248161574 10.880749259167 9.0182290641981    0.5974978377449
 196703  9.2374262828071 10.885187999412 9.0236708016279    0.5975381471484
 196704  9.2421698997398 10.901408706064 9.0338845141380    0.5913114211043
 196801  9.2561329028869 10.916157990907 9.0505767205757    0.5909371173752
 196802  9.2689347637879 10.902338242566 9.0683199157848    0.5975073402178
 196803  9.2802395768132 10.936849155352 9.0707773670638    0.5968251382463
 196804  9.2852834444995 10.941480965040 9.0784563730528    0.5959309652719
 196901  9.2932292717614 10.981751803892 9.0791268802787    0.5911833827369
 196902  9.2991893364153 10.975630474460 9.0881253867856    0.5937120533653
 196903  9.3028141951045 10.961843434576 9.1088409917684    0.5893443095983
 196904  9.3114060499318 10.951516180259 9.1152846255862    0.5972942445441
 197001  9.3210539404851 10.942185708847 9.1187515153961    0.6077493334095
 197002  9.3225439506253 10.931444077977 9.1384212549702    0.6009327889531
 197003  9.3294675256493 10.894112391414 9.1429299976892    0.6166012052039
 197004  9.3325495355025 10.911277521913 9.1351929778727    0.6189987985409
 197101  9.3350699757276 10.928787461596 9.1505083840559    0.6071498874626
 197102  9.3371391829649 10.959066227838 9.1645334056962    0.5917103685163
 197103  9.3383994728013 10.956997006727 9.1649846196261    0.5933367845513
 197104  9.3469421777345 10.959231259341 9.1688274970339    0.5989334173831
 197201  9.3565905440802 10.979791148869 9.1765309631759    0.5977650109823
 197202  9.3704558379928 11.005726862262 9.1875837439613    0.5971987923666
 197203  9.3792845609960 11.007694162548 9.1985382342423    0.5989736876680
 197204  9.3937946460341 11.019849693564 9.2300180493944    0.5912275535321
 197301  9.3993701753757 11.070675143417 9.2432598622136    0.5734809140656
 197302  9.3992586300023 11.060209905761 9.2482299263584    0.5736376325797
 197303  9.4042494261919 11.042461876871 9.2500796510606    0.5829589230061
 197304  9.4025133491050 11.067014967629 9.2548127332311    0.5709363598068
 197401  9.3947374461137 11.030560223483 9.2430077593579    0.5812475060613
 197402  9.3968234738908 11.009944239725 9.2408223718403    0.5909168693011
 197403  9.3986742889039 10.969248194164 9.2428675449008    0.6039912069710
 197404  9.3973164691060 10.924563324003 9.2345409961505    0.6211848018339
